what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Oracle Corporation",1429928436352
java.version,sysinfo,,,"1.8.0_40",1429928436352
java.vm.info,sysinfo,,,"mixed mode",1429928436352
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1429928436352
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1429928436352
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1429928436352
java.vm.specification.version,sysinfo,,,"1.8",1429928436352
java.vm.vendor,sysinfo,,,"Oracle Corporation",1429928436352
java.vm.version,sysinfo,,,"25.40-b25",1429928436352
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1429928436790
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1429928437024
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1429928437118
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1429928437180
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1429928437259
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1429928437290
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1429928437431
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1429928437540
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1429928437556
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1429928437571
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1429928437868
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1429928437977
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1429928438024
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928438774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928441681
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928444370
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928505564
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928506923
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928510923
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1429928514593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928517852
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928523180
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1429928531143
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1429928531174
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928543530
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928548543
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1429928554172
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928565086
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928573727
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928575589
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928581220
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1429928584502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928586611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928592558
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928598259
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928600993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1429928607884
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1429928612918
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928626498
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928627451
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928628091
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928634842
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1429928639162
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1429928642781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928647406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928648313
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928649016
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928652368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928676287
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928683264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429928691516
