what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430090849388
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430090854525
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430090855729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430090860580
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430090881564
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430090886654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430091715192
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430091716648
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430091716892
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1430091717582
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1430186374332
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1430186374332
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1430186374336
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1430186374420
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1430186374424
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1430186374424
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1430186374476
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1430186374480
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1430186374480
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1430186374532
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1430186374536
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1430186374536
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1430186374596
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1430186374596
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1430186374752
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1430186374756
