what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430499585486
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430499813674
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430499833226
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430499859819
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430499861541
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430499892593
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430499904845
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430499905535
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430499905575
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430499905575
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1430499908785
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430499908785
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430499924697
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430499942410
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430499942640
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430499942680
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1430499980863
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430499983706
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430499996899
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430500029101
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430500044588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430500061212
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430500097083
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430500122013
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430500128917
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1430500134224
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1430500150334
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1430500153290
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430500157968
