what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1427642193591
ws,sysinfo,,,"win32",1427642193591
locale,sysinfo,,,"pt_BR",1427642193591
processors,sysinfo,,,"4",1427642193591
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1427642193591
java.runtime.version,sysinfo,,,"1.6.0_02-b06",1427642193591
java.specification.name,sysinfo,,,"Java Platform API Specification",1427642193591
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1427642193591
java.specification.version,sysinfo,,,"1.6",1427642193591
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1427642193591
java.version,sysinfo,,,"1.6.0_02",1427642193591
java.vm.info,sysinfo,,,"mixed mode, sharing",1427642193591
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1427642193591
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1427642193591
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1427642193591
java.vm.specification.version,sysinfo,,,"1.0",1427642193591
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1427642193591
java.vm.version,sysinfo,,,"1.6.0_02-b06",1427642193591
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427642193607
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427642195472
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427642195628
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1427642195815
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1427642195894
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1427642195894
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1427642195909
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1427642195909
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1427642195909
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1427642195909
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1427642195909
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1427642195925
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1427642195925
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1427642195925
stopped,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1427642195925
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1427642195940
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1427642195940
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1427642211917
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1427642211917
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1427642211917
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1427642211917
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1427642211932
