what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443556670
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1437443562548
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443568152
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443570471
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443573053
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443595175
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443597496
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443720273
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443737041
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443740905
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437443748529
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443749585
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443751925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443761254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443764545
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443766719
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443768895
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443787757
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443790274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443806041
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443822392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443846839
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443848733
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443860634
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443864315
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1437443885122
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1437443892059
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1437443893165
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1437443894737
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443899091
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443928120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443939603
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437443960939
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437443964739
