what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427644981648
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427644984273
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427644985703
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427644989465
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427644996111
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1427645074812
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1427645076146
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1427645076474
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1427645090517
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1427645096799
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1427645097252
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1427645190515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427645208720
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427645211306
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427645213733
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427645220795
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1427645333079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1427645334741
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1427645335288
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427645335335
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427645337616
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427645358528
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427645359923
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427645360126
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427645361859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427645367919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427645374643
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427646199798
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427646202351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427646202601
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427646205278
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427646206266
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427646207797
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427646208947
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427646210564
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427646211592
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427646213435
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427646216451
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427646223237
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1427646236594
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1427646236985
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1427646237390
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1427646237726
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1427646237960
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1427646238181
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1427646238384
