what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437448134928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437448138580
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437448161344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437448176465
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437448196189
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437448262820
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437448282613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437448326238
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437448331056
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437448394207
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437448436744
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437448438367
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437448438526
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1437448439787
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1437448439805
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1437448439851
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1437618610992
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1437618610992
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1437618611008
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1437618611023
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1437618611039
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1437618611039
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1437618611054
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1437618611054
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1437618611054
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1437618611070
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1437618611070
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1437618611086
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1437618611101
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1437618611101
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1437618611117
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1437618611117
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1437618611133
