what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430503705413
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430503719007
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430503846927
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430503858433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430503859443
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430503862731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430503864255
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430503871223
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430503972968
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430503974468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430503975628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430503977488
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430503978588
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430503992066
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1430504021428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504027764
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504033405
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1430504043928
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504047239
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504079477
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504082657
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504113310
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504121069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504123673
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504137626
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504139166
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1430504141535
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504147570
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504157381
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504163529
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504186319
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1430504190395
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504193055
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504202758
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430504203158
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430504203218
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430504204658
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1430504208463
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1430504209793
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430504211334
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1430504212405
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1430504212925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504271730
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504284924
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504313370
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504325990
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504372061
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504377807
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1430504380949
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1430504381109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504385609
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430504385955
